amount,hour,day_of_week,is_foreign,prev_transactions,is_fraud
1978.2629750905353,3,1,0,16,1
1901.4778985134224,3,2,0,35,0
1464.2558896809987,17,0,1,21,0
539.2439377161608,2,0,0,31,1
312.8812622444306,15,6,0,10,0
312.8330461520691,13,4,0,44,0
117.10914072423073,18,3,0,5,0
1732.4861154040955,13,2,1,21,0
1202.6289084746743,8,1,0,13,0
1748.259749669788,2,6,0,27,1
42.14840409730909,16,5,0,38,0
1939.8497944718267,18,0,0,11,0
1665.0528389600431,11,0,1,26,0
425.465882245874,3,0,1,0,0
364.46810944699416,15,3,0,9,0
367.6256151970142,10,3,0,32,0
609.1802436761159,21,2,0,15,0
1049.9881068328434,3,5,1,38,0
864.4580922655894,16,1,0,5,0
583.1670512558858,7,3,0,24,0
1224.0939365500365,13,4,0,49,0
279.84822744343165,1,3,0,19,0
584.9971524219011,10,0,0,35,0
733.3573247440897,10,1,0,22,0
916.1447290319807,2,2,0,15,1
1570.5667468246343,21,3,0,0,0
400.1478905345611,23,0,0,29,0
1028.9546423888096,5,6,0,26,0
1185.236723155223,20,4,0,1,0
93.85437502727545,20,4,1,47,0
1215.4821589509752,13,6,0,20,0
341.87772325089577,9,2,1,8,0
131.03813437757375,7,2,0,46,0
1897.8221889694132,6,3,0,23,0
1931.298434116044,7,2,1,47,0
1616.9862988848058,7,5,1,40,0
609.922924577568,22,5,0,38,0
196.24655589876136,1,0,1,41,0
1368.7818199978017,15,0,0,6,0
880.864834985463,8,0,0,29,0
244.95443145471287,12,5,0,44,0
990.8586433124291,22,3,0,1,0
69.74265370932157,11,3,0,11,0
1818.7314837554854,21,2,0,12,0
518.3011832184338,16,3,0,2,0
1726.177719010753,3,0,0,42,1
624.1104411027325,12,1,1,39,0
1040.6159743344438,0,0,0,42,0
1093.873848407216,18,5,0,17,0
370.5240565955286,10,6,1,38,0
1939.1996709013526,4,1,0,43,0
1550.490513898868,0,2,0,5,0
1879.058384186814,19,4,0,41,0
1789.75987350487,12,6,0,26,0
1196.2020576433592,7,3,1,14,0
1843.8265958112106,5,3,0,14,0
177.89651160178707,16,5,0,18,0
392.7697419758712,11,0,0,37,0
91.40935053216559,0,0,0,46,0
651.3353311957654,2,1,0,19,0
777.9659020892746,13,3,0,19,0
543.4267145160179,7,6,1,17,0
1657.6462807947069,10,5,1,33,0
714.1499000604849,13,6,0,38,0
562.5880848650742,7,2,0,36,0
1085.8494702333387,2,0,1,34,0
282.7075257245505,6,6,0,37,0
1604.5917645273253,18,3,1,37,0
150.0267367158619,3,4,1,0,0
1973.786986264434,15,5,1,11,0
1544.7172938240183,12,1,0,4,0
398.23264738681064,19,0,0,26,0
12.038712130081196,18,0,0,38,0
1631.1073954812134,4,2,1,19,0
1414.0078303513867,22,0,0,39,0
1458.2853289139337,4,5,1,18,0
1542.7694230252055,19,3,0,37,0
149.01525881644662,23,3,0,14,0
717.572991360001,3,3,1,5,0
232.6222499907343,1,4,0,8,0
1726.3437483253115,12,4,0,35,0
1246.9729555282884,15,0,0,47,0
662.4651516804457,21,6,0,22,0
128.05314222176125,1,4,0,9,0
622.6536611096087,18,6,0,0,0
651.0414607314674,16,6,0,10,0
1459.48275049779,4,4,1,48,0
1275.477385239071,17,2,1,49,0
1774.5382724100768,22,4,0,19,0
944.9576353987367,20,1,0,27,0
240.0688976306651,17,1,0,21,0
1426.776329658767,7,6,1,19,0
1521.809312185178,14,1,0,46,0
1122.993117941423,12,0,1,37,0
